year,importer_name,indicator,Barley,Capital goods,Coal,Consumption goods n.e.s,Food and beverages,Fuels and Lubricants,Gas,Goods not specified,Industrial Supplies,Maize,Petroleum oils,Potash,Steel and Iron,Sunflower oil,Transport equipment,"Weapons, Firearms, Ammunition",Wheat
2018-2020,Burundi,Share,,0.09,,0.01,0.02,,,,1.27,,,15.33,,4.24,0.6200000000000001,,33.87
2018-2020,Burundi,USD (million),,0.0913594,,0.008307700000000001,0.016936399999999997,,,,2.5312963,,,0.6552187,,0.017133299999999997,0.5092113,,6.6072937000000005
2018-2020,Cabo Verde,Share,,0.0,,0.0,0.19,,,,0.04,,0.63,,,,0.01,,57.0
2018-2020,Cabo Verde,USD (million),,0.0010406,,0.0007402999999999999,0.4408037000000001,,,,0.07847529999999998,,0.980441,,,,0.011918699999999999,,2.8861873
2018-2020,Cameroon,Share,,0.04,,0.0,0.23,0.1,,,0.87,,5.7,3.09,14.17,2.54,0.0,,49.5
2018-2020,Cameroon,USD (million),,0.4502193,,0.0113326,1.8255034,0.0033636,,,13.498696299999999,,7.083425699999999,0.592275,17.656041000000002,0.008989,0.014480999999999999,,82.64087699999999
2018-2020,Central African Republic,Share,,0.35000000000000003,100.0,0.04,0.73,0.07,,,2.3,,0.13,,0.0,3.31,1.96,,
2018-2020,Central African Republic,USD (million),,0.213463,0.000118,0.016939,0.3302,4.93e-05,,,1.109803,,0.039450000000000006,,3.6700000000000004e-05,0.0091477,0.461139,,
2018-2020,Chad,Share,,0.13,,0.0,0.29000000000000004,,,,0.3,,,,,,4.6,,
2018-2020,Chad,USD (million),,0.342662,,0.002291,0.2606114,,,,0.6394674,,,,,,5.5291523,,
2018-2020,Comoros,Share,,0.0,,0.01,0.68,,,,0.04,,,,,4.78,,,
2018-2020,Comoros,USD (million),,0.0012,,0.003869,0.8588777,,,,0.03066,,,,,0.009271000000000001,,,
2018-2020,Congo Republic,Share,,0.13,5.73,0.04,0.9400000000000001,,,2.61,0.99,,0.5,2.35,0.5900000000000001,15.040000000000001,2.18,0.01,63.44
2018-2020,Congo Republic,USD (million),,1.0423134,1.1567237,0.11074699999999998,5.6472507,,,1.1048257000000001,6.3712667000000005,,0.4520503,0.0647707,0.15536000000000003,0.0676026,12.860355,0.0004747,34.662331
2018-2020,Cote d'Ivoire,Share,,0.15,,0.05,0.7,0.01,3.32,,1.27,,0.99,13.18,15.5,63.269999999999996,0.11,,17.31
2018-2020,Cote d'Ivoire,USD (million),,2.7866912999999998,,0.610854,14.6367827,0.000395,4.3896227,,34.065093,,12.738451,8.4746903,43.5817377,4.7553906999999995,0.99161,,27.974927000000005
2018-2020,DR Congo,Share,,0.04,,0.01,0.35,0.01,,,0.34,,0.06999999999999999,,0.0,2.6,0.12,0.02,62.32
2018-2020,DR Congo,USD (million),,0.777755,,0.1023247,4.1992563,0.0048063,,,7.253397,,0.1373683,,0.000245,0.164849,0.778717,0.000665,31.1964487
2018-2020,Djibouti,Share,,0.0,1.96,0.01,0.3,0.26,6.39,,0.05,,0.07,,0.86,3.5,0.02,,75.99000000000001
2018-2020,Djibouti,USD (million),,0.043582,1.0437383,0.063669,2.1967394,0.0021216,0.1744453,,0.780208,,0.42985670000000004,,2.9438637,3.7870486999999997,0.110835,,13.1579317
2018-2020,Egypt,Share,94.54,1.59,6.73,0.99,0.44,0.22,2.03,,4.07,12.459999999999999,12.66,0.48,19.520000000000003,99.66999999999999,2.23,0.82,78.22
2018-2020,Egypt,USD (million),1.3878947,254.62727829999997,21.3778633,50.995621,30.7379933,0.10981559999999999,7.0177993,,814.97444,169.7880524,381.686597,0.44135,534.6331260000001,217.0320307,152.0524046,0.5610217,1858.0096859999999
2018-2020,Equatorial Guinea,Share,,0.24,,0.060000000000000005,0.27,0.0,,,0.14,,0.01,,0.0,,0.08,,
2018-2020,Equatorial Guinea,USD (million),,0.5684253,,0.0535456,0.6303383,2.6700000000000002e-05,,,0.31242970000000003,,0.0011513,,0.000855,,0.090458,,
2018-2020,Eritrea,Share,,2.34,,,1.16,,,,0.25,,,,,,,,99.94
2018-2020,Eritrea,USD (million),,2.0877396,,,0.5295973,,,,0.1439606,,,,,,,,1.9003417
2018-2020,Eswatini,Share,,0.0,,0.0,0.0,,,,0.0,,0.06,,,,0.0,,18.24
2018-2020,Eswatini,USD (million),,0.010978,,0.005859,0.0113447,,,,0.0234127,,0.1177903,,,,0.006579,,2.4587324
2018-2020,Ethiopia,Share,1.71,0.26,,0.03,1.73,0.06,,0.8,0.33999999999999997,,0.02,0.66,17.82,18.54,0.16999999999999998,,32.68
