period,fertilizer,price
2016-04-01,TSP,295.0
2016-05-01,TSP,295.0
2016-06-01,TSP,285.0
2016-07-01,TSP,281.0
2016-08-01,TSP,281.25
2016-09-01,TSP,287.0
2016-10-01,TSP,285.0
2016-11-01,TSP,285.0
2016-12-01,TSP,277.5
2017-01-01,TSP,270.0
2017-02-01,TSP,278.75
2017-03-01,TSP,288.0
2017-04-01,TSP,285.0
2017-05-01,TSP,275.0
2017-06-01,TSP,275.0
2017-07-01,TSP,275.75
2017-08-01,TSP,280.5
2017-09-01,TSP,283.2
2017-10-01,TSP,283.5
2017-11-01,TSP,295.0
2017-12-01,TSP,308.75
2018-01-01,TSP,320.0
2018-02-01,TSP,320.0
2018-03-01,TSP,324.0
2018-04-01,TSP,325.0
2018-05-01,TSP,326.0
2018-06-01,TSP,335.2
2018-07-01,TSP,344.25
2018-08-01,TSP,357.6
2018-09-01,TSP,376.25
2018-10-01,TSP,385.0
2018-11-01,TSP,379.2
2018-12-01,TSP,368.33
2019-01-01,TSP,355.0
2019-02-01,TSP,343.75
2019-03-01,TSP,321.0
2019-04-01,TSP,310.0
2019-05-01,TSP,305.0
2019-06-01,TSP,293.75
2019-07-01,TSP,283.75
2019-08-01,TSP,275.0
2019-09-01,TSP,270.0
2019-10-01,TSP,270.0
2019-11-01,TSP,264.0
2019-12-01,TSP,243.33
2020-01-01,TSP,239.0
2020-02-01,TSP,245.0
2020-03-01,TSP,245.0
2020-04-01,TSP,245.0
2020-05-01,TSP,243.0
2020-06-01,TSP,240.0
2020-07-01,TSP,262.2
2020-08-01,TSP,276.25
2020-09-01,TSP,282.5
2020-10-01,TSP,290.0
2020-11-01,TSP,292.5
2020-12-01,TSP,320.0
2021-01-01,TSP,337.6
2021-02-01,TSP,453.75
2021-03-01,TSP,458.0
2021-04-01,TSP,478.0
2021-05-01,TSP,527.5
2021-06-01,TSP,550.0
2021-07-01,TSP,555.0
2021-08-01,TSP,555.0
2021-09-01,TSP,573.75
2021-10-01,TSP,618.0
2021-11-01,TSP,665.0
2021-12-01,TSP,686.67
2022-01-01,TSP,676.25
2022-02-01,TSP,687.5
2022-03-01,TSP,792.5
2022-04-01,TSP,856.0
2007-05-01,Urea ,293.125
2007-06-01,Urea ,291.875
2007-07-01,Urea ,269.5
2007-08-01,Urea ,260.625
2007-09-01,Urea ,305.0
2007-10-01,Urea ,323.75
2007-11-01,Urea ,366.25
2007-12-01,Urea ,401.666666666667
2008-01-01,Urea ,376.625
2008-02-01,Urea ,328.125
2008-03-01,Urea ,371.0
2008-04-01,Urea ,462.5
2008-05-01,Urea ,633.75
2008-06-01,Urea ,642.0
2008-07-01,Urea ,733.75
2008-08-01,Urea ,785.0
2008-09-01,Urea ,744.5
2008-10-01,Urea ,575.0
2008-11-01,Urea ,287.5
2008-12-01,Urea ,240.0
2009-01-01,Urea ,273.75
2009-02-01,Urea ,281.25
2009-03-01,Urea ,268.5
2009-04-01,Urea ,245.625
2009-05-01,Urea ,236.25
2009-06-01,Urea ,239.7
2009-07-01,Urea ,243.75
2009-08-01,Urea ,251.5
2009-09-01,Urea ,232.25
2009-10-01,Urea ,234.875
2009-11-01,Urea ,243.5
2009-12-01,Urea ,262.0
2010-01-01,Urea ,266.5
2010-02-01,Urea ,297.5
2010-03-01,Urea ,278.7
2010-04-01,Urea ,253.75
2010-05-01,Urea ,234.0
2010-06-01,Urea ,226.25
2010-07-01,Urea ,259.375
2010-08-01,Urea ,263.5
2010-09-01,Urea ,308.75
2010-10-01,Urea ,332.5
2010-11-01,Urea ,365.4
2010-12-01,Urea ,380.625
2011-01-01,Urea ,378.5
2011-02-01,Urea ,297.5
2011-03-01,Urea ,278.7
2011-04-01,Urea ,253.75
2011-05-01,Urea ,234.0
2011-06-01,Urea ,478.75
2011-07-01,Urea ,483.75
2011-08-01,Urea ,475.5
2011-09-01,Urea ,508.75
2011-10-01,Urea ,493.5
2011-11-01,Urea ,481.25
2011-12-01,Urea ,423.125
2012-01-01,Urea ,368.0
2012-02-01,Urea ,375.0
2012-03-01,Urea ,393.125
