Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFB","Fertilizers by Product","9","Argentina","5157","Agricultural Use","4016","Potassium chloride (muriate of potash) (MOP)","2019","2019","tonnes","25732","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","9","Argentina","5610","Import Quantity","4012","Superphosphates above 35%","2018","2018","tonnes","131925.2","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","9","Argentina","5610","Import Quantity","4012","Superphosphates above 35%","2019","2019","tonnes","95538.54","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","9","Argentina","5622","Import Value","4012","Superphosphates above 35%","2018","2018","1000 US$","45749.6","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","9","Argentina","5622","Import Value","4012","Superphosphates above 35%","2019","2019","1000 US$","29705.84","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","9","Argentina","5157","Agricultural Use","4012","Superphosphates above 35%","2018","2018","tonnes","110566","*","Unofficial figure"
"RFB","Fertilizers by Product","9","Argentina","5157","Agricultural Use","4012","Superphosphates above 35%","2019","2019","tonnes","97384","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","9","Argentina","5510","Production","4001","Urea","2018","2018","tonnes","877777.78","E","Expert sources from FAO (including other divisions)"
"RFB","Fertilizers by Product","9","Argentina","5510","Production","4001","Urea","2019","2019","tonnes","1027000","E","Expert sources from FAO (including other divisions)"
"RFB","Fertilizers by Product","9","Argentina","5610","Import Quantity","4001","Urea","2018","2018","tonnes","780929.14","X","International reliable sources"
"RFB","Fertilizers by Product","9","Argentina","5610","Import Quantity","4001","Urea","2019","2019","tonnes","877950.75","X","International reliable sources"
"RFB","Fertilizers by Product","9","Argentina","5622","Import Value","4001","Urea","2018","2018","1000 US$","237365.84","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","9","Argentina","5622","Import Value","4001","Urea","2019","2019","1000 US$","264554.22","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","9","Argentina","5910","Export Quantity","4001","Urea","2018","2018","tonnes","26.64","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","9","Argentina","5910","Export Quantity","4001","Urea","2019","2019","tonnes","1450.28","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","9","Argentina","5922","Export Value","4001","Urea","2018","2018","1000 US$","16.01","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","9","Argentina","5922","Export Value","4001","Urea","2019","2019","1000 US$","418.95","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","9","Argentina","5157","Agricultural Use","4001","Urea","2018","2018","tonnes","1630596","*","Unofficial figure"
"RFB","Fertilizers by Product","9","Argentina","5157","Agricultural Use","4001","Urea","2019","2019","tonnes","1826695","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","1","Armenia","5510","Production","4022","Diammonium phosphate (DAP)","2018","2018","tonnes","0","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","1","Armenia","5610","Import Quantity","4022","Diammonium phosphate (DAP)","2018","2018","tonnes","19.93","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","1","Armenia","5610","Import Quantity","4022","Diammonium phosphate (DAP)","2019","2019","tonnes","49.8","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","1","Armenia","5622","Import Value","4022","Diammonium phosphate (DAP)","2018","2018","1000 US$","24.87","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","1","Armenia","5622","Import Value","4022","Diammonium phosphate (DAP)","2019","2019","1000 US$","33.51","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","1","Armenia","5157","Agricultural Use","4022","Diammonium phosphate (DAP)","2018","2018","tonnes","6","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","1","Armenia","5157","Agricultural Use","4022","Diammonium phosphate (DAP)","2019","2019","tonnes","0","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
