Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFN","Fertilizers by Nutrient","4","Algeria","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2017","2017","tonnes","58800","Fm","Manual Estimation"
"RFN","Fertilizers by Nutrient","4","Algeria","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2018","2018","tonnes","58800","Fm","Manual Estimation"
"RFN","Fertilizers by Nutrient","4","Algeria","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2019","2019","tonnes","58800","Fm","Manual Estimation"
"RFN","Fertilizers by Nutrient","4","Algeria","5510","Production","3104","Nutrient potash K2O (total)","2017","2017","tonnes","0","Fm","Manual Estimation"
"RFN","Fertilizers by Nutrient","4","Algeria","5510","Production","3104","Nutrient potash K2O (total)","2018","2018","tonnes","0","Fm","Manual Estimation"
"RFN","Fertilizers by Nutrient","4","Algeria","5510","Production","3104","Nutrient potash K2O (total)","2019","2019","tonnes","0","Fm","Manual Estimation"
"RFN","Fertilizers by Nutrient","4","Algeria","5610","Import Quantity","3104","Nutrient potash K2O (total)","2017","2017","tonnes","31554.14","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","4","Algeria","5610","Import Quantity","3104","Nutrient potash K2O (total)","2018","2018","tonnes","46938.59","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","4","Algeria","5610","Import Quantity","3104","Nutrient potash K2O (total)","2019","2019","tonnes","29126.59","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","4","Algeria","5910","Export Quantity","3104","Nutrient potash K2O (total)","2017","2017","tonnes","0","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","4","Algeria","5910","Export Quantity","3104","Nutrient potash K2O (total)","2018","2018","tonnes","7.2","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","4","Algeria","5910","Export Quantity","3104","Nutrient potash K2O (total)","2019","2019","tonnes","42.15","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","4","Algeria","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2017","2017","tonnes","26700","Fm","Manual Estimation"
"RFN","Fertilizers by Nutrient","4","Algeria","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2018","2018","tonnes","26700","Fm","Manual Estimation"
"RFN","Fertilizers by Nutrient","4","Algeria","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2019","2019","tonnes","26700","Fm","Manual Estimation"
"RFN","Fertilizers by Nutrient","7","Angola","5510","Production","3102","Nutrient nitrogen N (total)","2017","2017","tonnes","0","E","Expert sources from FAO (including other divisions)"
"RFN","Fertilizers by Nutrient","7","Angola","5510","Production","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","0","E","Expert sources from FAO (including other divisions)"
"RFN","Fertilizers by Nutrient","7","Angola","5510","Production","3102","Nutrient nitrogen N (total)","2019","2019","tonnes","0","E","Expert sources from FAO (including other divisions)"
"RFN","Fertilizers by Nutrient","7","Angola","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2017","2017","tonnes","26735.84","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","7","Angola","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","21942.48","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","7","Angola","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2019","2019","tonnes","17106.88","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","7","Angola","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2017","2017","tonnes","0.26","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","7","Angola","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","0","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","7","Angola","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2019","2019","tonnes","0.01","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","7","Angola","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2017","2017","tonnes","26714.79","Fb","Data obtained as a balance"
"RFN","Fertilizers by Nutrient","7","Angola","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","21942.48","Fb","Data obtained as a balance"
"RFN","Fertilizers by Nutrient","7","Angola","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2019","2019","tonnes","17106.87","Fb","Data obtained as a balance"
"RFN","Fertilizers by Nutrient","7","Angola","5510","Production","3103","Nutrient phosphate P2O5 (total)","2017","2017","tonnes","0","E","Expert sources from FAO (including other divisions)"
"RFN","Fertilizers by Nutrient","7","Angola","5510","Production","3103","Nutrient phosphate P2O5 (total)","2018","2018","tonnes","0","E","Expert sources from FAO (including other divisions)"
"RFN","Fertilizers by Nutrient","7","Angola","5510","Production","3103","Nutrient phosphate P2O5 (total)","2019","2019","tonnes","0","E","Expert sources from FAO (including other divisions)"
"RFN","Fertilizers by Nutrient","7","Angola","5610","Import Quantity","3103","Nutrient phosphate P2O5 (total)","2017","2017","tonnes","11670.43","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","7","Angola","5610","Import Quantity","3103","Nutrient phosphate P2O5 (total)","2018","2018","tonnes","6390.65","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","7","Angola","5610","Import Quantity","3103","Nutrient phosphate P2O5 (total)","2019","2019","tonnes","10155.35","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","7","Angola","5910","Export Quantity","3103","Nutrient phosphate P2O5 (total)","2017","2017","tonnes","0.05","Fc","Calculated data"
